circo_name;latitude;longitude;result_label
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91085; 2.28875;1 | MAIRIE
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.9117; 2.28655;2 | Ecole élémentaire Mauriceau
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91183; 2.28853;3 | ECOLE ELEMENTAIRE H.G. FONTAINE
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91104; 2.28955;4 | C.A.S. ANCIEN TRIBUNAL D’INSTANCE
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91557; 2.30728;5 | ECOLE ELEMENTAIRE AULAGNIER
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.9152; 2.29158;6 | Ecole Elementaire Voltaire
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91504; 2.29223;7 | Ecole Maternelle Voltaire
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91027; 2.27832;8 | Ecole élementaire Simone Veil
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91779; 2.27932;"9 | Ecole Elementaire Michelet ""B"""
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91821; 2.28023;"10 | Ecole elementaire Michelet ""A"""
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.9253; 2.27819;11 | Ecole elementaire Jules Ferry
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92617; 2.2789;12 | Ecole elementaire Jules Ferry
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.93273; 2.27869;"13 | Ecole elementaire H.POINCARE ""A"""
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.93283; 2.27821;"14 | Ecole elementaire H.Poincare ""B"""
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92824; 2.27291;15 | Centre Robert Lavergne
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92883; 2.2743;"16 | Ecole elementaire Descartes ""A"""
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92437; 2.27796;17 | ECOLE MATERNELLE MENIL
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91659; 2.28888;18 | Ecole maternelle Le Parc
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91189; 2.28848;19 | Ecole maternelle Fontaine
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.9154; 2.29061;20 | Ecole Maternelle Bokanowski
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91324; 2.29982;21 | Ecole Maternelle Pierre Boudou
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91783; 2.28139;22 | Ecole Maternelle Michelet
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.9176; 2.3185;23 | Ecole Elementaire Elisabeth Badinter
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.90941; 2.27877;24 | Ecole Maternelle Rejane
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.90981; 2.27327;25 | Ecole Elementaire Flachat
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.90975; 2.2736;26 | Ecole Elementaire Flachat
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.90879; 2.2728;27 | Ecole Maternelle Flachat
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.90783; 2.26836;28 | Centre Administratif et Social Annexe
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.90562; 2.28558;29 | Ecole Maternelle Normandie
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.90499; 2.28626;30 | Ecole Maternelle Normandie
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.90729; 2.27593;31 | Ecole Elementaire Jean d'Ormesson
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92233; 2.254;1 | Hotel de ville
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92507; 2.25568;2 | Ecole elementaire Maintenon B
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92387; 2.25502;3 | Gymnase Ecole Maintenon
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92782; 2.26753;4 | Ecole elementaire Victor Hugo
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92721; 2.26674;5 | Ecole Maternelle Victor Hugo
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92176; 2.26686;6 | Ecole Elementaire Hoche
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91988; 2.2541;7 | Ecole Elementaire Lazare Carnot
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.92303; 2.2514;8 | Tribunal d'instance
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91496; 2.24384;9 | Ecole elementaire Leon Bourgeois A
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91297; 2.24477;10 | Ecole Maternelle Jules Verne
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.9123; 2.23831;11 | Ecole Maternelle Anne Franck
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91525; 2.24537;12 | Ecole elementaire Leon Bourgeois B
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91643; 2.25534;13 | Ecole Maternelle Denis Papin
92, Hauts-de-Seine, Ile de France, Circo 2 Asnieres-sur-Seine Colombes;48.91842; 2.25428;14 | Ecole Maternelle Gustave Bienvêtu
